Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
14.38,2.27,2.11,25.12,-1.0,2.45,-1,2.11,-1.0,2.18,0.17,0.18,22.22,10000,10,0.75,0.25
34.49,1.74,1.44,46.4,19.83,4.79,10,1.45,0.17000000178813934,1.49,0.14,0.44,44.44,20000,20,0.54,0.07
49.33,1.37,1.1,60.64,14.19,7.13,10,1.1,0.6399999856948853,1.05,0.1,0.61,66.67,30000,30,0.39,0.03
66.11,0.95,0.73,74.64,8.56,9.46,10,0.72,0.7699999809265137,0.84,0.08,0.7,88.89,40000,40,0.25,0.01
77.62,0.64,0.62,78.48,2.91,10.65,10,0.62,0.800000011920929,0.68,0.06,0.76,100.0,45000,50,0.22,0.01
