Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.01,2.32,2.31,9.82,-1.0,1.58,-1,2.31,-1.0,2.3,0.18,0.12,22.22,10000,10,0.9,0.49
17.28,2.12,1.86,26.12,4.02,3.01,10,1.85,0.009999999776482582,1.86,0.16,0.26,44.44,20000,20,0.74,0.15
35.47,1.67,1.45,45.62,2.93,4.42,10,1.43,0.41999998688697815,1.46,0.13,0.44,66.67,30000,30,0.54,0.07
54.75,1.23,1.07,61.06,1.76,5.94,10,1.05,0.6200000047683716,1.07,0.1,0.61,88.89,40000,40,0.39,0.04
67.8,0.91,0.86,70.16,0.63,6.66,10,0.85,0.7400000095367432,0.74,0.08,0.73,100.0,45000,50,0.3,0.02
