Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.13,2.32,2.31,10.26,-1.0,1.54,-1,2.31,-1.0,2.3,0.18,0.12,22.22,10000,10,0.9,0.5
14.73,2.2,1.89,23.0,4.01,2.97,10,1.88,0.009999999776482582,1.89,0.16,0.24,44.44,20000,20,0.77,0.17
35.97,1.65,1.46,45.02,2.87,4.46,10,1.44,0.3799999952316284,1.48,0.14,0.44,66.67,30000,30,0.55,0.07
55.57,1.21,1.14,58.2,1.79,5.92,10,1.12,0.5899999737739563,1.04,0.1,0.62,88.89,40000,40,0.42,0.04
67.23,0.92,0.95,67.02,0.64,6.56,10,0.93,0.6600000262260437,0.8,0.08,0.71,100.0,45000,50,0.33,0.03
