Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
15.15,2.26,2.08,23.96,-1.0,2.46,-1,2.08,-1.0,2.08,0.17,0.22,22.22,10000,10,0.76,0.23
36.73,1.7,1.55,44.64,3.88,4.79,10,1.54,0.23000000417232513,1.38,0.13,0.48,44.44,20000,20,0.55,0.09
55.39,1.22,1.04,63.0,2.86,7.14,10,1.04,0.6499999761581421,0.99,0.1,0.64,66.67,30000,30,0.37,0.04
68.41,0.88,0.78,73.32,1.79,9.49,10,0.77,0.7599999904632568,0.72,0.07,0.74,88.89,40000,40,0.27,0.02
77.01,0.65,0.63,79.24,0.65,10.67,10,0.62,0.8199999928474426,0.51,0.06,0.82,100.0,45000,50,0.21,0.01
