Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
13.58,2.27,2.06,25.7,-1.0,2.47,-1,2.07,-1.0,2.08,0.17,0.22,22.22,10000,10,0.74,0.24
43.04,1.55,1.48,47.98,3.88,4.8,10,1.48,0.23999999463558197,1.32,0.13,0.51,44.44,20000,20,0.52,0.08
61.8,1.08,1.05,62.2,2.79,7.13,10,1.05,0.6000000238418579,0.98,0.1,0.64,66.67,30000,30,0.38,0.04
70.92,0.82,0.77,72.9,1.74,9.48,10,0.77,0.5299999713897705,0.75,0.07,0.73,88.89,40000,40,0.27,0.02
76.66,0.66,0.59,79.88,0.63,10.65,10,0.59,0.5699999928474426,0.53,0.05,0.81,100.0,45000,50,0.2,0.01
