Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.36,2.32,2.31,9.78,-1.0,1.56,-1,2.31,-1.0,2.3,0.18,0.12,22.22,10000,10,0.9,0.49
16.37,2.16,1.9,25.28,4.01,3.02,10,1.89,0.009999999776482582,1.88,0.16,0.25,44.44,20000,20,0.75,0.16
35.68,1.67,1.46,44.6,2.96,4.5,10,1.45,0.4000000059604645,1.5,0.14,0.42,66.67,30000,30,0.55,0.07
53.53,1.26,1.12,60.18,1.76,5.95,10,1.09,0.6100000143051147,0.99,0.1,0.63,88.89,40000,40,0.4,0.04
66.93,0.93,0.95,67.32,0.7,6.63,10,0.92,0.7599999904632568,0.82,0.08,0.7,100.0,45000,50,0.33,0.03
