Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
26.78,2.0,1.75,37.32,-1.0,1.96,-1,1.75,-1.0,1.8,0.15,0.34,22.22,10000,10,0.63,0.13
51.64,1.38,1.41,49.18,5.17,3.85,10,1.41,0.4699999988079071,1.44,0.13,0.47,44.44,20000,20,0.51,0.07
60.27,1.15,1.25,56.0,3.79,5.57,10,1.25,0.5799999833106995,1.25,0.12,0.54,66.67,30000,30,0.44,0.05
63.37,1.05,1.08,61.7,2.29,7.39,10,1.09,0.5600000023841858,1.02,0.1,0.63,88.89,40000,40,0.38,0.04
66.82,0.94,1.0,64.74,0.78,8.2,10,1.0,0.5699999928474426,0.92,0.09,0.67,100.0,45000,50,0.35,0.03
