Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
70.14,0.84,1.36,62.92,-1.0,4.66,-1,1.37,-1.0,0.49,0.08,0.82,22.22,10000,10,0.37,0.04
94.07,0.18,1.09,73.6,6.12,9.18,10,1.09,0.8399999737739563,0.31,0.06,0.89,44.44,20000,20,0.26,0.03
96.32,0.12,0.96,76.68,4.36,13.7,10,0.96,0.8600000143051147,0.24,0.05,0.91,66.67,30000,30,0.23,0.02
95.46,0.14,0.79,80.0,2.7,18.2,10,0.8,0.8500000238418579,0.22,0.04,0.92,88.89,40000,40,0.2,0.01
96.67,0.1,0.7,83.16,0.96,20.51,10,0.69,0.8100000023841858,0.18,0.04,0.93,100.0,45000,50,0.17,0.01
