Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
9.93,2.32,2.31,10.2,-1.0,1.58,-1,2.31,-1.0,2.3,0.18,0.12,22.22,10000,10,0.9,0.51
13.7,2.24,1.97,22.52,4.06,3.02,10,1.96,0.009999999776482582,1.98,0.17,0.23,44.44,20000,20,0.77,0.2
32.82,1.75,1.48,44.3,2.86,4.42,10,1.46,0.33000001311302185,1.5,0.14,0.43,66.67,30000,30,0.56,0.07
49.97,1.34,1.17,57.26,1.79,5.92,10,1.15,0.6499999761581421,1.1,0.11,0.59,88.89,40000,40,0.43,0.04
66.06,0.95,0.91,67.58,0.64,6.55,10,0.89,0.7200000286102295,0.84,0.08,0.69,100.0,45000,50,0.32,0.03
