Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.07,2.29,2.17,22.28,-1.0,2.47,-1,2.17,-1.0,2.21,0.18,0.15,22.22,10000,10,0.78,0.27
35.41,1.74,1.42,47.82,3.94,4.8,10,1.42,0.07999999821186066,1.4,0.13,0.47,44.44,20000,20,0.52,0.07
50.57,1.33,1.05,62.24,2.85,7.15,10,1.05,0.6499999761581421,0.97,0.1,0.64,66.67,30000,30,0.38,0.04
65.51,0.96,0.74,74.14,1.79,9.48,10,0.74,0.800000011920929,0.7,0.07,0.75,88.89,40000,40,0.26,0.02
77.33,0.64,0.62,78.74,0.7,10.65,10,0.62,0.8299999833106995,0.53,0.06,0.81,100.0,45000,50,0.21,0.01
